Time,Time Code,Country Name,Country Code,Combined polity score [UPP.COM.POL.XQ],,
1990,YR1990,Algeria,DZA,-2,,
2000,YR2000,Algeria,DZA,-3,,
2003,YR2003,Algeria,DZA,-3,,
2004,YR2004,Algeria,DZA,2,,
2005,YR2005,Algeria,DZA,2,,
2006,YR2006,Algeria,DZA,2,,
2007,YR2007,Algeria,DZA,2,,
2008,YR2008,Algeria,DZA,2,,
2009,YR2009,Algeria,DZA,2,,
2010,YR2010,Algeria,DZA,2,,
2011,YR2011,Algeria,DZA,2,,
2012,YR2012,Algeria,DZA,..,,
1990,YR1990,Angola,AGO,-7,,
2000,YR2000,Angola,AGO,-3,,
2003,YR2003,Angola,AGO,-2,,
2004,YR2004,Angola,AGO,-2,,
2005,YR2005,Angola,AGO,-2,,
2006,YR2006,Angola,AGO,-2,,
2007,YR2007,Angola,AGO,-2,,
2008,YR2008,Angola,AGO,-2,,
2009,YR2009,Angola,AGO,-2,,
2010,YR2010,Angola,AGO,-2,,
2011,YR2011,Angola,AGO,-2,,
2012,YR2012,Angola,AGO,..,,
1990,YR1990,Benin,BEN,-88,,
2000,YR2000,Benin,BEN,6,,
2003,YR2003,Benin,BEN,6,,
2004,YR2004,Benin,BEN,6,,
2005,YR2005,Benin,BEN,6,,
2006,YR2006,Benin,BEN,7,,
2007,YR2007,Benin,BEN,7,,
2008,YR2008,Benin,BEN,7,,
2009,YR2009,Benin,BEN,7,,
2010,YR2010,Benin,BEN,7,,
2011,YR2011,Benin,BEN,7,,
2012,YR2012,Benin,BEN,..,,
1990,YR1990,Botswana,BWA,7,,
2000,YR2000,Botswana,BWA,8,,
2003,YR2003,Botswana,BWA,8,,
2004,YR2004,Botswana,BWA,8,,
2005,YR2005,Botswana,BWA,8,,
2006,YR2006,Botswana,BWA,8,,
2007,YR2007,Botswana,BWA,8,,
2008,YR2008,Botswana,BWA,8,,
2009,YR2009,Botswana,BWA,8,,
2010,YR2010,Botswana,BWA,8,,
2011,YR2011,Botswana,BWA,8,,
2012,YR2012,Botswana,BWA,..,,
1990,YR1990,Burkina Faso,BFA,-7,,
2000,YR2000,Burkina Faso,BFA,-3,,
2003,YR2003,Burkina Faso,BFA,0,,
2004,YR2004,Burkina Faso,BFA,0,,
2005,YR2005,Burkina Faso,BFA,0,,
2006,YR2006,Burkina Faso,BFA,0,,
2007,YR2007,Burkina Faso,BFA,0,,
2008,YR2008,Burkina Faso,BFA,0,,
2009,YR2009,Burkina Faso,BFA,0,,
2010,YR2010,Burkina Faso,BFA,0,,
2011,YR2011,Burkina Faso,BFA,0,,
2012,YR2012,Burkina Faso,BFA,..,,
1990,YR1990,Burundi,BDI,-7,,
2000,YR2000,Burundi,BDI,-1,,
2003,YR2003,Burundi,BDI,-88,,
2004,YR2004,Burundi,BDI,-88,,
2005,YR2005,Burundi,BDI,6,,
2006,YR2006,Burundi,BDI,6,,
2007,YR2007,Burundi,BDI,6,,
2008,YR2008,Burundi,BDI,6,,
2009,YR2009,Burundi,BDI,6,,
2010,YR2010,Burundi,BDI,6,,
2011,YR2011,Burundi,BDI,6,,
2012,YR2012,Burundi,BDI,..,,
1990,YR1990,Cameroon,CMR,-8,,
2000,YR2000,Cameroon,CMR,-4,,
2003,YR2003,Cameroon,CMR,-4,,
2004,YR2004,Cameroon,CMR,-4,,
2005,YR2005,Cameroon,CMR,-4,,
2006,YR2006,Cameroon,CMR,-4,,
2007,YR2007,Cameroon,CMR,-4,,
2008,YR2008,Cameroon,CMR,-4,,
2009,YR2009,Cameroon,CMR,-4,,
2010,YR2010,Cameroon,CMR,-4,,
2011,YR2011,Cameroon,CMR,-4,,
2012,YR2012,Cameroon,CMR,..,,
1990,YR1990,Cape Verde,CPV,-2,,
2000,YR2000,Cape Verde,CPV,8,,
2003,YR2003,Cape Verde,CPV,10,,
2004,YR2004,Cape Verde,CPV,10,,
2005,YR2005,Cape Verde,CPV,10,,
2006,YR2006,Cape Verde,CPV,10,,
2007,YR2007,Cape Verde,CPV,10,,
2008,YR2008,Cape Verde,CPV,10,,
2009,YR2009,Cape Verde,CPV,10,,
2010,YR2010,Cape Verde,CPV,10,,
2011,YR2011,Cape Verde,CPV,10,,
2012,YR2012,Cape Verde,CPV,..,,
1990,YR1990,Central African Republic,CAF,-7,,
2000,YR2000,Central African Republic,CAF,5,,
2003,YR2003,Central African Republic,CAF,-1,,
2004,YR2004,Central African Republic,CAF,-1,,
2005,YR2005,Central African Republic,CAF,-1,,
2006,YR2006,Central African Republic,CAF,-1,,
2007,YR2007,Central African Republic,CAF,-1,,
2008,YR2008,Central African Republic,CAF,-1,,
2009,YR2009,Central African Republic,CAF,-1,,
2010,YR2010,Central African Republic,CAF,-1,,
2011,YR2011,Central African Republic,CAF,-1,,
2012,YR2012,Central African Republic,CAF,..,,
1990,YR1990,Chad,TCD,-7,,
2000,YR2000,Chad,TCD,-2,,
2003,YR2003,Chad,TCD,-2,,
2004,YR2004,Chad,TCD,-2,,
2005,YR2005,Chad,TCD,-2,,
2006,YR2006,Chad,TCD,-2,,
2007,YR2007,Chad,TCD,-2,,
2008,YR2008,Chad,TCD,-2,,
2009,YR2009,Chad,TCD,-2,,
2010,YR2010,Chad,TCD,-2,,
2011,YR2011,Chad,TCD,-2,,
2012,YR2012,Chad,TCD,..,,
1990,YR1990,Comoros,COM,4,,
2000,YR2000,Comoros,COM,-1,,
